datetime,open,high,low,close,volume
2025-05-02 11:30:00,204.9200,205.5700,204.8600,205.5700,1654427
2025-05-02 11:15:00,205.1850,205.7300,204.6600,204.9008,1777175
2025-05-02 11:00:00,205.1900,205.4400,204.6000,205.2000,1957323
2025-05-02 10:45:00,205.9800,206.5800,203.5909,205.1750,2555167
2025-05-02 10:30:00,206.7200,206.9900,205.4000,205.9700,3033579
2025-05-02 10:15:00,205.1112,206.8200,204.8000,206.7200,4459342
2025-05-02 10:00:00,203.7700,205.3650,203.2500,205.1200,4645506
2025-05-02 09:45:00,203.6146,203.8800,202.2100,203.7900,4790530
2025-05-02 09:30:00,206.0900,206.4300,202.1600,203.6312,13599340
2025-05-02 09:15:00,207.2800,212.5650,205.8700,206.3300,450279
2025-05-02 09:00:00,207.4800,207.7400,206.7300,207.2800,373085
2025-05-02 08:45:00,206.6800,207.7498,206.5900,207.4500,352697
2025-05-02 08:30:00,206.3000,207.0200,205.9050,206.6800,381303
2025-05-02 08:15:00,206.1000,206.3500,205.4900,206.3000,173742
2025-05-02 08:00:00,206.8860,236.3500,205.5500,206.0519,497228
2025-05-02 07:45:00,206.2000,206.4400,206.0000,206.1000,54406
2025-05-02 07:30:00,206.1500,206.3000,205.7500,206.2000,96636
2025-05-02 07:15:00,207.3000,207.4700,205.5100,206.1500,250626
2025-05-02 07:00:00,206.5200,207.3300,206.3300,207.3100,80632
2025-05-02 06:45:00,206.5200,206.7000,206.4000,206.4000,36470
2025-05-02 06:30:00,206.8300,206.9700,206.4200,206.6100,37439
2025-05-02 06:15:00,206.9500,206.9900,206.5800,206.8300,43868
2025-05-02 06:00:00,207.2700,207.3500,206.8800,206.9500,34220
2025-05-02 05:45:00,207.5300,207.5900,207.1600,207.2200,14541
2025-05-02 05:30:00,207.1800,207.6000,207.1700,207.5200,15908
2025-05-02 05:15:00,207.3400,207.4800,206.8200,207.1800,19068
2025-05-02 05:00:00,207.1400,207.5000,206.8900,207.3700,21148
2025-05-02 04:45:00,207.5000,207.5000,207.0000,207.1800,45745
2025-05-02 04:30:00,207.5800,207.7500,207.4100,207.4700,33336
2025-05-02 04:15:00,207.6600,208.0200,207.4900,207.5900,60947
2025-05-02 04:00:00,207.3200,207.9000,205.6300,207.6700,136333
2025-05-01 19:45:00,205.2900,205.3000,204.5000,205.2000,158200
2025-05-01 19:30:00,205.3610,205.4160,205.1100,205.3000,81019
2025-05-01 19:15:00,204.8416,205.4400,204.8400,205.3800,125777
2025-05-01 19:00:00,204.5000,204.9000,204.3987,204.8400,102558
2025-05-01 18:45:00,204.2500,204.5500,204.1500,204.5500,69688
2025-05-01 18:30:00,204.5000,213.3200,203.8400,204.1000,186275
2025-05-01 18:15:00,204.9902,213.3200,204.0000,204.4500,222867
2025-05-01 18:00:00,205.2500,205.2500,204.4000,204.9900,198308
2025-05-01 17:45:00,206.0500,213.3200,204.5700,205.2493,737165
2025-05-01 17:30:00,207.5000,208.4100,206.0000,206.0500,431602
2025-05-01 17:15:00,207.3000,211.0000,206.1000,207.4500,1175137
2025-05-01 17:00:00,207.7000,209.6700,199.6953,207.4000,659850
2025-05-01 16:45:00,207.6799,213.3200,207.4000,207.7700,571164
2025-05-01 16:30:00,212.4600,214.0000,207.0000,207.6800,2330014
2025-05-01 16:15:00,212.6500,213.3456,211.5500,212.4800,313984
2025-05-01 16:00:00,212.8000,213.7700,198.7800,212.4920,17544274
2025-05-01 15:45:00,213.3301,214.5600,212.4700,212.8300,5145432
2025-05-01 15:30:00,212.9400,213.4200,212.7100,213.3392,1989661
2025-05-01 15:15:00,212.5500,212.9600,212.5250,212.9400,1099296
2025-05-01 15:00:00,212.5500,212.8800,212.3000,212.5450,1299821
2025-05-01 14:45:00,212.9400,213.2000,212.5200,212.5450,898762
2025-05-01 14:30:00,212.7900,212.9550,212.6200,212.9500,644131
2025-05-01 14:15:00,212.7000,212.9100,212.5200,212.7800,784344
2025-05-01 14:00:00,212.5900,213.0000,212.5300,212.7100,674369
2025-05-01 13:45:00,212.1700,212.7900,212.1114,212.5950,690893
2025-05-01 13:30:00,212.5100,212.7550,212.0600,212.1900,677942
2025-05-01 13:15:00,212.5750,212.8776,212.4300,212.5100,734681
2025-05-01 13:00:00,212.1200,212.8500,212.0700,212.5700,2050011
2025-05-01 12:45:00,212.5400,212.6150,211.8500,212.1350,729171
2025-05-01 12:30:00,212.7800,212.8500,212.3300,212.5600,652062
2025-05-01 12:15:00,212.4900,212.8400,211.9300,212.7800,883092
2025-05-01 12:00:00,211.6000,213.8996,211.5300,212.4900,1036818
2025-05-01 11:45:00,212.6000,212.8100,211.4150,211.5844,1147687
2025-05-01 11:30:00,212.8950,213.1200,212.4600,212.5900,930774
2025-05-01 11:15:00,213.7550,214.2700,212.7600,212.8966,1374142
2025-05-01 11:00:00,212.8900,213.7600,212.6900,213.7406,1413976
2025-05-01 10:45:00,212.3100,213.0900,212.1900,212.8900,1522120
2025-05-01 10:30:00,211.7500,212.4200,211.3150,212.2900,1458785
2025-05-01 10:15:00,210.5950,211.8400,210.4100,211.7400,1589331
2025-05-01 10:00:00,210.8000,211.6000,209.7100,210.5807,1995465
2025-05-01 09:45:00,211.7800,211.9800,210.4900,210.6800,1596625
2025-05-01 09:30:00,209.0800,212.5000,208.9000,211.7800,4881931
2025-05-01 09:15:00,209.1300,209.6600,208.8000,209.0300,219637
2025-05-01 09:00:00,209.1800,209.4500,209.0200,209.0500,152658
2025-05-01 08:45:00,209.3995,209.6200,193.1600,209.1100,105967
2025-05-01 08:30:00,209.5000,212.5000,209.0000,209.4000,142067
2025-05-01 08:15:00,209.7000,210.0900,209.4400,209.5800,68493
2025-05-01 08:00:00,209.3100,212.5000,209.0300,209.6600,274246
2025-05-01 07:45:00,209.4700,209.5000,209.1600,209.3000,45590
2025-05-01 07:30:00,209.2500,209.5700,209.2500,209.4700,32176
2025-05-01 07:15:00,209.9100,209.9200,209.0100,209.2000,73009
2025-05-01 07:00:00,210.0300,210.2900,209.8000,209.9000,72978
2025-05-01 06:45:00,209.8100,210.0800,209.6500,210.0500,12814
2025-05-01 06:30:00,209.8400,209.9900,209.6900,209.8100,15594
2025-05-01 06:15:00,210.1400,210.2800,209.7000,209.9300,20116
2025-05-01 06:00:00,210.2300,210.3500,210.0000,210.1500,14885
2025-05-01 05:45:00,209.9800,210.3300,209.9600,210.2400,11252
2025-05-01 05:30:00,210.2900,210.3000,209.7500,209.9900,23376
2025-05-01 05:15:00,209.7000,210.3000,209.7000,210.2900,16657
2025-05-01 05:00:00,209.7100,209.8400,209.5900,209.7000,15070
2025-05-01 04:45:00,209.2200,209.7900,209.2000,209.7200,22433
2025-05-01 04:30:00,209.5000,209.6900,209.2000,209.2300,17460
2025-05-01 04:15:00,209.1600,209.5000,209.1000,209.5000,15188
2025-05-01 04:00:00,209.9800,210.0000,209.0300,209.2200,24751
2025-04-30 19:45:00,209.7484,209.8900,208.6000,209.0000,113680
2025-04-30 19:30:00,209.8000,210.0000,209.6000,209.7430,73179
2025-04-30 19:15:00,209.8787,212.5000,209.6500,209.7900,133862
2025-04-30 19:00:00,210.3500,210.5400,209.6000,209.8791,71309
2025-04-30 18:45:00,210.5100,210.6000,210.0700,210.3500,77998
2025-04-30 18:30:00,210.6000,212.5000,210.3330,210.5100,64649
2025-04-30 18:15:00,211.8400,211.9400,210.5000,210.5700,83726
